company_id,issue,category
CHOLAFIN,Financial Sector,Bank ROCE Carve-Out
CHOLAFIN,Financial Sector,Bank ROCE Carve-Out
CHOLAFIN,Financial Sector,Bank ROCE Carve-Out
CHOLAFIN,Financial Sector,Bank ROCE Carve-Out
CHOLAFIN,Financial Sector,Bank ROCE Carve-Out
CHOLAFIN,Financial Sector,Bank ROCE Carve-Out
CHOLAFIN,Financial Sector,Bank ROCE Carve-Out
CHOLAFIN,Financial Sector,Bank ROCE Carve-Out
CHOLAFIN,Financial Sector,Bank ROCE Carve-Out
CIPLA,ROE Difference,Formula Discrepancy
CIPLA,ROE Difference,Formula Discrepancy
CIPLA,ROE Difference,Formula Discrepancy
CIPLA,ROE Difference,Formula Discrepancy
CIPLA,ROE Difference,Formula Discrepancy
COALINDIA,ROE Difference,Formula Discrepancy
COALINDIA,ROE Difference,Formula Discrepancy
COALINDIA,ROE Difference,Formula Discrepancy
COALINDIA,ROE Difference,Formula Discrepancy
COALINDIA,ROE Difference,Formula Discrepancy
COALINDIA,ROE Difference,Formula Discrepancy
COALINDIA,ROE Difference,Formula Discrepancy
COALINDIA,ROE Difference,Formula Discrepancy
COALINDIA,ROE Difference,Formula Discrepancy
COALINDIA,ROE Difference,Formula Discrepancy
DABUR,ROE Difference,Formula Discrepancy
DABUR,ROE Difference,Formula Discrepancy
DABUR,ROE Difference,Formula Discrepancy
DABUR,ROE Difference,Formula Discrepancy
DABUR,ROE Difference,Formula Discrepancy
DABUR,ROE Difference,Formula Discrepancy
DIVISLAB,ROE Difference,Formula Discrepancy
DIVISLAB,ROE Difference,Formula Discrepancy
DIVISLAB,ROE Difference,Formula Discrepancy
DIVISLAB,ROE Difference,Formula Discrepancy
DIVISLAB,ROE Difference,Formula Discrepancy
DIVISLAB,ROE Difference,Formula Discrepancy
DIVISLAB,ROE Difference,Formula Discrepancy
DIVISLAB,ROE Difference,Formula Discrepancy
DIVISLAB,ROE Difference,Formula Discrepancy
DLF,ROE Difference,Formula Discrepancy
DLF,ROE Difference,Formula Discrepancy
DLF,ROE Difference,Formula Discrepancy
DLF,ROE Difference,Formula Discrepancy
DMART,ROE Difference,Formula Discrepancy
DMART,ROE Difference,Formula Discrepancy
DRREDDY,ROE Difference,Formula Discrepancy
DRREDDY,ROE Difference,Formula Discrepancy
DRREDDY,ROE Difference,Formula Discrepancy
DRREDDY,ROE Difference,Formula Discrepancy
DRREDDY,ROE Difference,Formula Discrepancy
DRREDDY,ROE Difference,Formula Discrepancy
EICHERMOT,ROE Difference,Formula Discrepancy
EICHERMOT,ROE Difference,Formula Discrepancy
EICHERMOT,ROE Difference,Formula Discrepancy
EICHERMOT,ROE Difference,Formula Discrepancy
EICHERMOT,ROE Difference,Formula Discrepancy
GAIL,ROE Difference,Formula Discrepancy
GAIL,ROE Difference,Formula Discrepancy
GAIL,ROE Difference,Formula Discrepancy
GAIL,ROE Difference,Formula Discrepancy
GAIL,ROE Difference,Formula Discrepancy
GODREJCP,ROE Difference,Formula Discrepancy
GODREJCP,ROE Difference,Formula Discrepancy
GODREJCP,ROE Difference,Formula Discrepancy
GODREJCP,ROE Difference,Formula Discrepancy
GODREJCP,ROE Difference,Formula Discrepancy
GODREJCP,ROE Difference,Formula Discrepancy
GODREJCP,ROE Difference,Formula Discrepancy
GODREJCP,ROE Difference,Formula Discrepancy
GODREJCP,ROE Difference,Formula Discrepancy
GODREJCP,ROE Difference,Formula Discrepancy
GODREJCP,ROE Difference,Formula Discrepancy
GODREJCP,ROE Difference,Formula Discrepancy
GRASIM,ROE Difference,Formula Discrepancy
GRASIM,ROE Difference,Formula Discrepancy
GRASIM,ROE Difference,Formula Discrepancy
GRASIM,ROE Difference,Formula Discrepancy
GRASIM,ROE Difference,Formula Discrepancy
GRASIM,ROE Difference,Formula Discrepancy
HAL,ROE Difference,Formula Discrepancy
HAL,ROE Difference,Formula Discrepancy
HAL,ROE Difference,Formula Discrepancy
HAL,ROE Difference,Formula Discrepancy
HAL,ROE Difference,Formula Discrepancy
HAL,ROE Difference,Formula Discrepancy
HAL,ROE Difference,Formula Discrepancy
HAL,ROE Difference,Formula Discrepancy
HAVELLS,ROE Difference,Formula Discrepancy
HAVELLS,ROE Difference,Formula Discrepancy
HAVELLS,ROE Difference,Formula Discrepancy
HCLTECH,ROE Difference,Formula Discrepancy
HCLTECH,ROE Difference,Formula Discrepancy
HCLTECH,ROE Difference,Formula Discrepancy
HDFCBANK,Financial Sector,Bank ROCE Carve-Out
HDFCBANK,Financial Sector,Bank ROCE Carve-Out
HDFCBANK,Financial Sector,Bank ROCE Carve-Out
HDFCBANK,Financial Sector,Bank ROCE Carve-Out
HDFCBANK,Financial Sector,Bank ROCE Carve-Out
HDFCBANK,Financial Sector,Bank ROCE Carve-Out
HDFCBANK,Financial Sector,Bank ROCE Carve-Out
HDFCBANK,Financial Sector,Bank ROCE Carve-Out
HDFCBANK,Financial Sector,Bank ROCE Carve-Out
HDFCBANK,Financial Sector,Bank ROCE Carve-Out
HDFCBANK,Financial Sector,Bank ROCE Carve-Out
HDFCBANK,Financial Sector,Bank ROCE Carve-Out
HDFCLIFE,Financial Sector,Bank ROCE Carve-Out
HDFCLIFE,Financial Sector,Bank ROCE Carve-Out
HDFCLIFE,Financial Sector,Bank ROCE Carve-Out
HDFCLIFE,Financial Sector,Bank ROCE Carve-Out
HDFCLIFE,Financial Sector,Bank ROCE Carve-Out
HDFCLIFE,Financial Sector,Bank ROCE Carve-Out
HDFCLIFE,Financial Sector,Bank ROCE Carve-Out
HDFCLIFE,Financial Sector,Bank ROCE Carve-Out
HDFCLIFE,Financial Sector,Bank ROCE Carve-Out
HDFCLIFE,Financial Sector,Bank ROCE Carve-Out
HDFCLIFE,Financial Sector,Bank ROCE Carve-Out
HDFCLIFE,Financial Sector,Bank ROCE Carve-Out
HEROMOTOCO,ROE Difference,Formula Discrepancy
HEROMOTOCO,ROE Difference,Formula Discrepancy
HEROMOTOCO,ROE Difference,Formula Discrepancy
HEROMOTOCO,ROE Difference,Formula Discrepancy
HEROMOTOCO,ROE Difference,Formula Discrepancy
HEROMOTOCO,ROE Difference,Formula Discrepancy
HEROMOTOCO,ROE Difference,Formula Discrepancy
HINDALCO,ROE Difference,Formula Discrepancy
HINDALCO,ROE Difference,Formula Discrepancy
HINDALCO,ROE Difference,Formula Discrepancy
HINDALCO,ROE Difference,Formula Discrepancy
HINDUNILVR,ROE Difference,Formula Discrepancy
HINDUNILVR,ROE Difference,Formula Discrepancy
HINDUNILVR,ROE Difference,Formula Discrepancy
HINDUNILVR,ROE Difference,Formula Discrepancy
HINDUNILVR,ROE Difference,Formula Discrepancy
HINDUNILVR,ROE Difference,Formula Discrepancy
HINDUNILVR,ROE Difference,Formula Discrepancy
HINDUNILVR,ROE Difference,Formula Discrepancy
ICICIBANK,Financial Sector,Bank ROCE Carve-Out
ICICIBANK,Financial Sector,Bank ROCE Carve-Out
ICICIBANK,Financial Sector,Bank ROCE Carve-Out
ICICIBANK,Financial Sector,Bank ROCE Carve-Out
ICICIBANK,Financial Sector,Bank ROCE Carve-Out
ICICIBANK,Financial Sector,Bank ROCE Carve-Out
ICICIBANK,Financial Sector,Bank ROCE Carve-Out
ICICIBANK,Financial Sector,Bank ROCE Carve-Out
ICICIBANK,Financial Sector,Bank ROCE Carve-Out
ICICIBANK,Financial Sector,Bank ROCE Carve-Out
ICICIBANK,Financial Sector,Bank ROCE Carve-Out
ICICIBANK,Financial Sector,Bank ROCE Carve-Out
ICICIGI,Financial Sector,Bank ROCE Carve-Out
ICICIGI,Financial Sector,Bank ROCE Carve-Out
ICICIGI,Financial Sector,Bank ROCE Carve-Out
ICICIGI,Financial Sector,Bank ROCE Carve-Out
ICICIGI,Financial Sector,Bank ROCE Carve-Out
ICICIGI,Financial Sector,Bank ROCE Carve-Out
ICICIGI,Financial Sector,Bank ROCE Carve-Out
ICICIGI,Financial Sector,Bank ROCE Carve-Out
ICICIGI,Financial Sector,Bank ROCE Carve-Out
ICICIGI,Financial Sector,Bank ROCE Carve-Out
ICICIGI,Financial Sector,Bank ROCE Carve-Out
ICICIGI,Financial Sector,Bank ROCE Carve-Out
ICICIPRULI,Financial Sector,Bank ROCE Carve-Out
ICICIPRULI,Financial Sector,Bank ROCE Carve-Out
ICICIPRULI,Financial Sector,Bank ROCE Carve-Out
ICICIPRULI,Financial Sector,Bank ROCE Carve-Out
ICICIPRULI,Financial Sector,Bank ROCE Carve-Out
ICICIPRULI,Financial Sector,Bank ROCE Carve-Out
ICICIPRULI,Financial Sector,Bank ROCE Carve-Out
ICICIPRULI,Financial Sector,Bank ROCE Carve-Out
ICICIPRULI,Financial Sector,Bank ROCE Carve-Out
ICICIPRULI,Financial Sector,Bank ROCE Carve-Out
ICICIPRULI,Financial Sector,Bank ROCE Carve-Out
